feature,coef,abs_coef
num__OverallQual,0.07968752606446382,0.07968752606446382
cat__Neighborhood_Crawfor,0.060614759610682925,0.060614759610682925
num__GrLivArea,0.051860054820464734,0.051860054820464734
cat__Exterior1st_BrkFace,0.05112299423062822,0.05112299423062822
cat__Neighborhood_StoneBr,0.0510178244762644,0.0510178244762644
cat__Neighborhood_Edwards,-0.05092223263309944,0.05092223263309944
cat__Functional_Typ,0.04841348797154248,0.04841348797154248
cat__Neighborhood_NridgHt,0.04544773959870625,0.04544773959870625
num__GarageCars,0.04542302428378003,0.04542302428378003
cat__RoofMatl_ClyTile,-0.04146344129293891,0.04146344129293891
num__OverallCond,0.040789590323714535,0.040789590323714535
cat__LandContour_Bnk,-0.04043664323994842,0.04043664323994842
cat__BsmtQual_Ex,0.040156485322720946,0.040156485322720946
cat__Condition1_Norm,0.04002800372834446,0.04002800372834446
num__YearBuilt,0.0350002349208525,0.0350002349208525
cat__KitchenQual_Ex,0.03391841049653338,0.03391841049653338
cat__SaleCondition_Abnorml,-0.03370327105558518,0.03370327105558518
cat__BsmtFinType1_Unf,-0.03314158719016682,0.03314158719016682
num__2ndFlrSF,0.03289875915231372,0.03289875915231372
cat__BldgType_Twnhs,-0.0326136120880354,0.0326136120880354
